idx,word,occurrences
985,Hope,22
986,werent,22
987,regarding,22
988,resolve,22
989,concern,22
990,airports,22
991,advisory,22
992,onto,22
993,ruined,22
994,failure,22
995,damn,22
996,Does,22
997,screwed,22
998,Last,22
999,Missed,22
1000,talked,22
1001,social,22
1002,safe,22
1003,airways,22
1004,excited,21
1005,Club,21
1006,news,21
1007,video,21
1008,absolute,21
1009,expected,21
1010,story,21
1011,Lets,21
1012,bank,21
1013,Philadelphia,21
1014,man,21
1015,cut,21
1016,transfer,21
1017,security,21
1018,equipment,21
1019,unhelpful,21
1020,ua,21
1021,talking,21
1022,file,21
1023,keeping,21
1024,literally,21
1025,clear,21
1026,tells,21
1027,captain,21
1028,office,21
1029,single,21
1030,difference,21
1031,Weve,21
1032,answered,21
1033,excuse,21
1034,huge,21
1035,svc,21
1036,compensate,21
1037,zero,21
1038,tmrw,21
1039,party,21
1040,usairways,21
1041,added,20
1042,D,20
1043,lt,20
1044,match,20
1045,Seattle,20
1046,rock,20
1047,Tried,20
1048,useless,20
1049,upgrades,20
1050,special,20
1051,web,20
1052,NY,20
1053,ARE,20
1054,Next,20
1055,provided,20
1056,picked,20
1057,favorite,20
1058,Mexico,20
1059,nightmare,20
1060,actual,20
1061,son,20
1062,Am,20
1063,tired,20
1064,tag,20
1065,n,20
1066,Come,20
1067,flyers,20
1068,sick,20
1069,NEVER,20
1070,hell,20
1071,onboard,20
1072,bother,20
1073,Jet,20
1074,hanging,20
1075,kidding,20
1076,hopefully,20
1077,F,20
1078,close,20
1079,Street,20
1080,fares,19
1081,emailed,19
1082,iPhone,19
1083,count,19
1084,filed,19
1085,sort,19
1086,planned,19
1087,ones,19
1088,trips,19
1089,experienced,19
1090,avgeek,19
1091,meeting,19
1092,Diego,19
1093,travelers,19
1094,standing,19
1095,switched,19
1096,youll,19
1097,Everyone,19
1098,forgot,19
1099,unfortunately,19
1100,mistake,19
1101,questions,19
1102,refunded,19
1103,final,19
1104,touch,19
1105,THANK,19
1106,tho,19
1107,power,19
1108,ID,19
1109,departing,19
1110,badservice,19
1111,Didnt,19
1112,important,19
1113,fucking,19
1114,FOR,19
1115,choose,19
1116,catering,19
1117,broke,19
1118,Appreciate,19
1119,platinum,19
1120,sister,19
1121,callback,19
1122,Bad,19
1123,per,19
1124,department,19
1125,Makes,19
1126,tweeting,19
1127,Blue,19
1128,May,18
1129,Best,18
1130,tracking,18
1131,Looks,18
1132,mention,18
1133,along,18
1134,arrives,18
1135,youd,18
1136,requested,18
1137,charging,18
1138,suitcase,18
1139,Other,18
1140,representative,18
1141,rental,18
1142,waste,18
1143,likely,18
1144,WiFi,18
1145,refuse,18
1146,Even,18
1147,willing,18
1148,crossed,18
1149,unhappy,18
1150,Flightling,18
1151,usually,18
1152,nope,18
1153,delivery,18
1154,passes,18
1155,lady,18
1156,neveragain,18
1157,however,18
1158,denied,18
1159,etc,18
1160,angry,18
1161,personal,18
1162,listening,18
1163,impressed,18
1164,dollars,18
1165,engine,18
1166,Weather,18
1167,deliver,18
1168,Glad,18
